 TIME       | THREAD   | ID   | STATUS
 1396288919 | Hydrogen | 20   | Destroyed
 1396288919 | Hydrogen | 21   | Bond invoked
 1396288919 | Hydrogen | 21   | Crossed the barrier
 1396288919 | Hydrogen | 21   | has become H2O
 1396288919 | Oxygen   | 10   | Destroyed
 1396288919 | Main     | 0    | Spawning oxygen 12
 1396288919 | Oxygen   | 11   | Invoking bond
 1396288919 | Oxygen   | 11   | Destroyed
 1396288919 | Hydrogen | 23   | Bond invoked
 1396288919 | Hydrogen | 23   | Destroyed
 1396288919 | Hydrogen | 22   | Bond invoked
 1396288919 | Hydrogen | 22   | Crossed the barrier
 1396288919 | Hydrogen | 22   | has become H2O
 1396288919 | Main     | 0    | Spawning oxygen 13
 1396288919 | Oxygen   | 12   | Invoking bond
 1396288919 | Oxygen   | 12   | Destroyed
 1396288919 | Hydrogen | 25   | Bond invoked
 1396288919 | Hydrogen | 25   | Destroyed
 1396288919 | Hydrogen | 24   | Bond invoked
 1396288919 | Hydrogen | 24   | Crossed the barrier
 1396288919 | Hydrogen | 24   | has become H2O
 1396288919 | Main     | 0    | Spawning oxygen 14
 1396288919 | Oxygen   | 13   | Invoking bond
 1396288919 | Oxygen   | 13   | Destroyed
 1396288919 | Hydrogen | 26   | Bond invoked
 1396288919 | Hydrogen | 26   | Destroyed
 1396288919 | Hydrogen | 27   | Bond invoked
 1396288919 | Hydrogen | 27   | Crossed the barrier
 1396288919 | Hydrogen | 27   | has become H2O
 1396288919 | Main     | 0    | Spawning oxygen 15
 1396288919 | Oxygen   | 14   | Invoking bond
 1396288919 | Oxygen   | 14   | Destroyed
 1396288919 | Hydrogen | 29   | Bond invoked
 1396288919 | Hydrogen | 29   | Destroyed
 1396288919 | Main     | 0    | Spawning oxygen 16
 1396288919 | Hydrogen | 28   | Bond invoked
 1396288919 | Hydrogen | 28   | Crossed the barrier
 1396288919 | Hydrogen | 28   | has become H2O
 1396288919 | Oxygen   | 15   | Invoking bond
 1396288919 | Oxygen   | 15   | Destroyed
 1396288919 | Hydrogen | 31   | Bond invoked
 1396288919 | Hydrogen | 31   | Destroyed
 1396288919 | Hydrogen | 30   | Bond invoked
 1396288919 | Hydrogen | 30   | Crossed the barrier
 1396288919 | Hydrogen | 30   | has become H2O
 1396288919 | Main     | 0    | Spawning oxygen 17
 1396288919 | Oxygen   | 16   | Invoking bond
 1396288919 | Oxygen   | 16   | Destroyed
 1396288919 | Hydrogen | 33   | Bond invoked
 1396288919 | Hydrogen | 33   | Destroyed
 1396288919 | Main     | 0    | Spawning oxygen 18
 1396288919 | Hydrogen | 32   | Bond invoked
 1396288919 | Hydrogen | 32   | Crossed the barrier
 1396288919 | Hydrogen | 32   | has become H2O
 1396288919 | Oxygen   | 17   | Invoking bond
 1396288919 | Oxygen   | 17   | Destroyed
 1396288919 | Hydrogen | 34   | Bond invoked
 1396288919 | Hydrogen | 34   | Destroyed
 1396288919 | Hydrogen | 35   | Bond invoked
 1396288919 | Hydrogen | 35   | Crossed the barrier
 1396288919 | Hydrogen | 35   | has become H2O
 1396288919 | Oxygen   | 18   | Invoking bond
 1396288919 | Oxygen   | 18   | Destroyed
 1396288919 | Main     | 0    | Spawning oxygen 19
 1396288919 | Hydrogen | 37   | Bond invoked
 1396288919 | Hydrogen | 37   | Destroyed
 1396288919 | Hydrogen | 36   | Bond invoked
 1396288919 | Hydrogen | 36   | Crossed the barrier
 1396288919 | Hydrogen | 36   | has become H2O
 1396288919 | Main     | 0    | Done spawning
 1396288919 | Oxygen   | 19   | Invoking bond
 1396288919 | Hydrogen | 39   | Bond invoked
 1396288919 | Hydrogen | 39   | Destroyed
 1396288919 | Hydrogen | 38   | Bond invoked
 1396288919 | Hydrogen | 38   | Crossed the barrier
 1396288919 | Hydrogen | 38   | has become H2O
 1396288919 | Oxygen   | 19   | Destroyed
 1396288919 | Main     | 0    | Terminating
